14:52:27.947827; 627587467; Игорь Семёнов; /hi
14:52:37.801024; 627587467; Игорь Семёнов; /calc 2+2
14:52:43.910879; 627587467; Игорь Семёнов; /help
14:57:50.909399; 627587467; Игорь Семёнов; /help
14:57:57.165109; 627587467; Игорь Семёнов; /time
14:59:26.502325; 627587467; Игорь Семёнов; /time
15:06:06.279003; 627587467; Игорь Семёнов; /hi
<built-in method today of type object at 0x00007FFE53D58CD0>; 15:18:48.896334; 627587467; Игорь Семёнов; /hi
<built-in method today of type object at 0x00007FFE53D58CD0>; 15:18:52.870898; 627587467; Игорь Семёнов; /time
2022-10-27 15:20:06.173364; 15:20:06.173364; 627587467; Игорь Семёнов; /time
2022-10-27 15:20:21.304737; 15:20:21.304736; 627587467; Игорь Семёнов; /time
2022-10-27 15:22:05.570765; 627587467; Игорь Семёнов; /hi
2022-10-27 16:24:08.312727; 627587467; Игорь Семёнов; /hi
2022-10-27 16:24:08.708715; 627587467; Игорь Семёнов; /help
2022-10-27 16:24:15.259100; 627587467; Игорь Семёнов; /hi
2022-10-27 16:24:19.689992; 627587467; Игорь Семёнов; /phone
2022-10-27 18:56:38.730815; 627587467; Игорь Семёнов; /help
2022-10-27 20:14:57.824924; 627587467; Игорь Семёнов; /hi
2022-10-27 20:22:46.902929; 627587467; Игорь Семёнов; /hi
2022-10-27 20:22:52.635385; 627587467; Игорь Семёнов; /phone
2022-10-27 21:04:01.308990; 627587467; Игорь Семёнов; /hi
2022-10-27 21:04:12.300549; 627587467; Игорь Семёнов; /phone
2022-10-27 21:05:00.306201; 627587467; Игорь Семёнов; /time
2022-10-27 21:47:03.980444; 627587467; Игорь Семёнов; /hi
2022-10-27 21:47:09.284122; 627587467; Игорь Семёнов; /phone
2022-10-27 21:49:53.171860; 627587467; Игорь Семёнов; /hi
2022-10-27 21:49:57.549054; 627587467; Игорь Семёнов; /phone
2022-10-27 21:53:29.194272; 627587467; Игорь Семёнов; /hi
2022-10-27 21:53:34.243001; 627587467; Игорь Семёнов; /phone
2022-10-27 21:55:25.289122; 627587467; Игорь Семёнов; /hi
2022-10-27 21:55:34.982138; 627587467; Игорь Семёнов; /phone
2022-10-27 21:55:49.872956; 627587467; Игорь Семёнов; /hi
2022-10-27 21:57:08.907638; 627587467; Игорь Семёнов; /phone
2022-10-27 21:57:16.516596; 627587467; Игорь Семёнов; /hi
2022-10-27 21:58:29.660915; 627587467; Игорь Семёнов; /phone
2022-10-27 22:01:46.308594; 627587467; Игорь Семёнов; /phone
2022-10-27 22:05:02.619305; 627587467; Игорь Семёнов; /phone
2022-10-27 22:06:45.176313; 627587467; Игорь Семёнов; /hi
2022-10-27 22:06:52.045612; 627587467; Игорь Семёнов; /phone
2022-10-27 22:08:11.139213; 627587467; Игорь Семёнов; /hi
2022-10-27 22:08:16.350896; 627587467; Игорь Семёнов; /phone
2022-10-27 22:11:44.762893; 627587467; Игорь Семёнов; /phone
